acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.28,0.49,0.37665,0.0516295024926464,-2.04,-1.25,-1.6791999999999998,0.2319685475127519,10.02,10.38,10.213,0.059063035911264,-0.21,0.03,-0.09615,0.0523198272322074,0.01,0.11,0.0564,0.014284967676111,-0.02,0.0,-0.0121999999999999,0.0055055933185211,0.0
0.26,0.47,0.34595,0.0439974588119535,-2.01,-1.4,-1.7639999999999998,0.1808689244707226,9.93,10.42,10.1995,0.059213861612254,-0.23,0.02,-0.11735,0.044625493536395,0.03,0.11,0.0614,0.0129568281992517,-0.02,0.0,-0.0129,0.0053603794960532,0.0
0.22,0.44,0.3211,0.0411491953919761,-2.01,-1.45,-1.82555,0.148755971967447,9.96,10.37,10.1903,0.0551371975418031,-0.21,0.02,-0.1036,0.0401759947327234,0.02,0.1,0.05775,0.0131644984750845,-0.02,0.0,-0.0118,0.0044563770579263,0.0
0.26,0.49,0.3702499999999999,0.046359286201207,-1.95,-1.29,-1.63945,0.1697535828619601,9.94,10.39,10.2209,0.0600183389059137,-0.19,0.01,-0.1098499999999999,0.049291232771566,0.01,0.1,0.0593,0.0153521478044948,-0.02,0.0,-0.01275,0.0054852474600962,0.0
0.27,0.45,0.348,0.041781917658433,-2.01,-1.36,-1.7555500000000002,0.1835350732573419,9.98,10.41,10.20015,0.0563413635460764,-0.2,0.01,-0.0988,0.0449182395158807,0.01,0.1,0.0561,0.0128301623265893,-0.02,0.0,-0.0116999999999999,0.0048193496089479,0.0
0.16,0.42,0.2586,0.0590633762331641,-1.92,-1.15,-1.6114,0.2209823658805171,9.96,10.43,10.22495,0.0621798130081511,-0.21,0.02,-0.10885,0.0438267202404557,0.02,0.11,0.0593,0.0147170977038314,-0.02,0.0,-0.0128,0.0052246035650621,0.0
0.21,0.44,0.33405,0.0392914314184985,-1.99,-1.39,-1.78345,0.153588883797398,9.97,10.38,10.1964,0.0546808005587769,-0.2,0.01,-0.11685,0.037771828857978,0.02,0.1,0.0615,0.0129067003751099,-0.02,0.0,-0.01295,0.0052855639178472,0.0
0.24,0.46,0.3399000000000001,0.0455561942459074,-2.02,-1.39,-1.7651499999999998,0.1709887812594233,9.98,10.39,10.19785,0.0575101258289731,-0.19,0.01,-0.0984,0.0408261419846001,0.02,0.1,0.0567,0.0130368630810856,-0.02,0.0,-0.0116999999999999,0.0047139267630753,0.0
0.27,0.49,0.34535,0.0410402119265346,-2.06,-1.39,-1.7859499999999997,0.1756569792859346,10.0,10.36,10.1924,0.0513754531457353,-0.21,0.0,-0.1154,0.0441768942995062,0.01,0.1,0.06035,0.0141909979251126,-0.02,0.0,-0.0135,0.005185019007733,0.0
0.23,0.49,0.3624000000000001,0.0464004851820067,-2.04,-1.39,-1.73245,0.1853219323042063,9.98,10.41,10.20455,0.0555628803099849,-0.22,0.01,-0.10245,0.051368190106075,0.02,0.1,0.0579,0.0154200808841056,-0.02,0.0,-0.0118,0.0050881673750163,0.0
0.24,0.45,0.3362999999999999,0.0463362193767537,-2.06,-1.39,-1.82235,0.1832152192993654,9.93,10.38,10.18775,0.0601792757195585,-0.2,0.03,-0.11125,0.0433860489815695,0.01,0.1,0.05945,0.0128461127608832,-0.02,0.0,-0.0127,0.0048815105990505,0.0
0.25,0.47,0.3688,0.0418727433202773,-1.99,-1.34,-1.64685,0.1722379372704395,10.02,10.4,10.2204,0.0554002340216017,-0.2,0.03,-0.10235,0.0489074348737454,0.01,0.1,0.05735,0.014681800856227,-0.02,0.0,-0.01195,0.004982128866278,0.0
0.26,0.5,0.3707499999999999,0.042826487600561,-1.95,-1.28,-1.6603000000000003,0.1675658124664386,9.97,10.54,10.22095,0.061836203638338,-0.19,0.04,-0.10065,0.0446885087474437,0.01,0.1,0.05655,0.0137309941739491,-0.02,0.0,-0.0121,0.0051694891517878,0.0
0.27,0.49,0.3764,0.0449459753873201,-1.95,-1.33,-1.67155,0.1850603527794494,9.97,10.43,10.2207,0.0577075454686828,-0.21,0.01,-0.11695,0.0437581004704719,0.03,0.1,0.0607,0.0133190459464866,-0.02,0.0,-0.01305,0.0051311934019917,0.0
0.27,0.51,0.3576999999999999,0.0413309963136797,-2.02,-1.36,-1.7812,0.1733285142997156,9.95,10.39,10.1954,0.0565404644533719,-0.21,0.01,-0.09945,0.0438269495577514,0.02,0.1,0.05675,0.0140328938766301,-0.02,0.0,-0.0117,0.005315191086067,0.0
0.27,0.46,0.3420999999999999,0.0416444630957425,-2.08,-1.48,-1.8304,0.1584499033110985,9.95,10.41,10.18445,0.0565569708769296,-0.22,0.01,-0.11685,0.0409629996055393,0.03,0.1,0.06135,0.0129427615050608,-0.02,0.0,-0.01285,0.0052454814247011,0.0
0.17,0.37,0.2663,0.0470037954203657,-1.84,-1.22,-1.5832499999999998,0.1696758289641555,10.07,10.44,10.2334,0.0559202590917139,-0.19,0.03,-0.1033999999999999,0.0408630510941561,0.02,0.09,0.0572,0.0133811537761849,-0.02,0.0,-0.01215,0.0045806562914391,0.0
0.24,0.48,0.35855,0.0473562092313544,-2.03,-1.32,-1.6830500000000002,0.1945209229035174,9.91,10.42,10.2147,0.0648996906714217,-0.21,0.01,-0.09855,0.0479153094993876,0.02,0.09,0.05665,0.0147773254255859,-0.02,0.0,-0.01145,0.0050522396645587,0.0
0.28,0.48,0.3637999999999999,0.0413899218184898,-2.0,-1.37,-1.7226,0.1566971922219771,9.99,10.44,10.20765,0.0554830545908719,-0.19,0.02,-0.1112,0.0411463865439985,0.01,0.1,0.05905,0.0134350288425444,-0.02,0.0,-0.013,0.0053047811941293,0.0
0.25,0.5,0.37605,0.0505934381110781,-1.99,-1.25,-1.65135,0.2027020426400589,10.01,10.41,10.2199,0.0564350473807219,-0.22,0.01,-0.10535,0.048690154608287,0.01,0.1,0.05795,0.0152136377592391,-0.02,0.0,-0.0117999999999999,0.0054689622177057,0.0
0.25,0.41,0.3298999999999999,0.0330674656790048,-2.07,-1.56,-1.8775,0.1403325196823673,9.95,10.36,10.17885,0.0542576905601834,-0.2,0.01,-0.1142,0.0377955356168266,0.02,0.1,0.0601,0.0116044524464928,-0.02,0.0,-0.01275,0.0052988573718525,0.0
0.23,0.5,0.36985,0.0487169808291269,-2.06,-1.34,-1.7028,0.1943166353503203,10.03,10.45,10.21145,0.0584334651483739,-0.21,0.01,-0.10135,0.0505415645656495,0.01,0.09,0.05685,0.0152887615965381,-0.03,0.0,-0.0120499999999999,0.0053328883817742,0.0
0.26,0.44,0.34575,0.034748739176722,-2.04,-1.53,-1.862,0.1365990354373414,9.96,10.36,10.18095,0.0528732009328395,-0.2,0.02,-0.1094,0.03957868570088,0.02,0.1,0.0593,0.0123804839125757,-0.02,0.0,-0.0123,0.0052772385042895,0.0
0.27,0.45,0.35485,0.0404618748525437,-2.06,-1.47,-1.7861000000000002,0.1577090699794049,9.94,10.42,10.19535,0.0545412802955835,-0.23,0.0,-0.11035,0.0454610938636146,0.03,0.1,0.0594,0.0139143106261505,-0.02,0.0,-0.0123,0.0049833894945379,0.0
0.23,0.5,0.3485499999999999,0.0454170788941382,-2.01,-1.3,-1.77445,0.1943516408510809,9.96,10.41,10.1998,0.059308917868171,-0.21,0.03,-0.0993,0.0451853803012083,0.01,0.1,0.05705,0.0142058626159524,-0.02,0.0,-0.0116,0.0053462991473414,0.0
0.18,0.43,0.29065,0.0446322494217153,-1.73,-1.18,-1.45385,0.1505623545680172,10.02,10.43,10.2548,0.0556998416677196,-0.21,0.01,-0.1127499999999999,0.0415036173273641,0.01,0.11,0.061,0.0140351317992783,-0.02,0.0,-0.0124,0.0052322924633577,0.0
0.69,0.9,0.8129499999999998,0.0339049439776952,-1.22,-1.02,-1.1125,0.0345356854259357,10.13,10.55,10.3027,0.0583931399564182,-0.19,-0.03,-0.1087,0.0222211362102022,0.03,0.1,0.05835,0.0108797677702085,-0.03,0.0,-0.012,0.0053986784163548,1.0
0.22,0.96,0.65155,0.1634277843682572,-1.83,-0.64,-0.98395,0.2496206116264114,9.95,10.65,10.31695,0.0980164969193538,-0.37,0.0,-0.12605,0.0542365700209571,0.03,0.13,0.06385,0.0212351633100388,-0.05,0.01,-0.0144,0.0086029094061983,1.0
0.85,1.04,0.95315,0.0323078393336982,-0.84,-0.55,-0.6944,0.0613879663456959,10.13,10.6,10.33615,0.0571665775426489,-0.17,0.0,-0.10325,0.0223255380280343,0.02,0.1,0.05665,0.0122074818478393,-0.02,0.0,-0.0107,0.0036848187807864,1.0
0.92,1.08,1.00785,0.0265783661600688,-0.71,-0.31,-0.5197999999999999,0.0810047458129528,10.13,10.6,10.34915,0.0654614658985569,-0.18,-0.01,-0.10265,0.0240701967557246,0.02,0.1,0.05855,0.0126965947240958,-0.02,0.0,-0.01075,0.0036058996884015,1.0
0.94,1.1,1.0149,0.0263907628121857,-0.48,-0.25,-0.37295,0.039428040171416,10.15,10.62,10.3581,0.0640696072476203,-0.17,-0.02,-0.1063,0.0231731520271708,0.01,0.1,0.0588,0.0114549587691099,-0.02,0.0,-0.0108,0.0035245014615919,1.0
