acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.23,0.41,0.32625,0.035690426,-1.97,-1.44,-1.7735,0.146646774,10.04,10.38,10.19545,0.0522056,-0.2,0.02,-0.1135,0.038118435,0.03,0.1,0.06025,0.011580503,-0.02,0,-0.01225,0.004641684,0
0.23,0.43,0.312,0.038801129,-2.02,-1.42,-1.81995,0.158971245,9.96,10.39,10.1863,0.055259188,-0.2,0.01,-0.1069,0.037555855,0.02,0.1,0.05875,0.01243829,-0.02,0,-0.01145,0.004637351,0
0.23,0.47,0.31865,0.048148404,-2.02,-1.36,-1.81675,0.17184467,9.94,10.4,10.1909,0.061294167,-0.2,0.03,-0.10895,0.039012915,0.01,0.1,0.0593,0.013394291,-0.02,0,-0.01125,0.004587234,0
0.15,0.38,0.2602,0.053255429,-1.88,-1.22,-1.57835,0.196319854,10.04,10.48,10.2354,0.058780231,-0.21,0.02,-0.1014,0.049945095,0.01,0.1,0.05705,0.015781087,-0.02,0,-0.01175,0.005251226,0
0.24,0.49,0.33945,0.048579805,-2.01,-1.28,-1.77445,0.208072507,9.94,10.41,10.19785,0.062725993,-0.19,-0.03,-0.1145,0.033770583,0.03,0.1,0.06005,0.011712532,-0.02,0,-0.01225,0.004419862,0
0.26,0.49,0.34835,0.048853977,-2.01,-1.28,-1.74795,0.19880623,10.01,10.39,10.20035,0.056251209,-0.19,0.02,-0.10635,0.039215645,0.02,0.1,0.0583,0.012565807,-0.02,0,-0.01175,0.004641684,0
0.28,0.53,0.38085,0.050849838,-1.94,-1.2,-1.59825,0.207704461,9.97,10.43,10.23065,0.060592365,-0.2,0.01,-0.09415,0.046928551,0.02,0.09,0.05555,0.014517274,-0.02,0,-0.01135,0.005177988,0
0.26,0.51,0.36095,0.053006091,-2,-1.24,-1.6961,0.221640276,9.96,10.41,10.2113,0.062713435,-0.22,0.02,-0.1115,0.045199168,0.03,0.09,0.06005,0.013617071,-0.02,0,-0.01245,0.00516049,0
0.27,0.48,0.3573,0.050661057,-2,-1.26,-1.7179,0.21455245,10.03,10.41,10.20915,0.059069651,-0.22,0.02,-0.1158,0.04837417,0.01,0.11,0.06,0.014388717,-0.02,0,-0.01335,0.005606663,0
0.28,0.49,0.37665,0.051629502,-2.04,-1.25,-1.6792,0.231968548,10.02,10.38,10.213,0.059063036,-0.21,0.03,-0.09615,0.052319827,0.01,0.11,0.0564,0.014284968,-0.02,0,-0.0122,0.005505593,0
0.26,0.47,0.34595,0.043997459,-2.01,-1.4,-1.764,0.180868924,9.93,10.42,10.1995,0.059213862,-0.23,0.02,-0.11735,0.044625494,0.03,0.11,0.0614,0.012956828,-0.02,0,-0.0129,0.005360379,0
0.22,0.44,0.3211,0.041149195,-2.01,-1.45,-1.82555,0.148755972,9.96,10.37,10.1903,0.055137198,-0.21,0.02,-0.1036,0.040175995,0.02,0.1,0.05775,0.013164498,-0.02,0,-0.0118,0.004456377,0
0.26,0.49,0.37025,0.046359286,-1.95,-1.29,-1.63945,0.169753583,9.94,10.39,10.2209,0.060018339,-0.19,0.01,-0.10985,0.049291233,0.01,0.1,0.0593,0.015352148,-0.02,0,-0.01275,0.005485247,0
0.27,0.45,0.348,0.041781918,-2.01,-1.36,-1.75555,0.183535073,9.98,10.41,10.20015,0.056341364,-0.2,0.01,-0.0988,0.04491824,0.01,0.1,0.0561,0.012830162,-0.02,0,-0.0117,0.00481935,0
0.16,0.42,0.2586,0.059063376,-1.92,-1.15,-1.6114,0.220982366,9.96,10.43,10.22495,0.062179813,-0.21,0.02,-0.10885,0.04382672,0.02,0.11,0.0593,0.014717098,-0.02,0,-0.0128,0.005224604,0
0.21,0.44,0.33405,0.039291431,-1.99,-1.39,-1.78345,0.153588884,9.97,10.38,10.1964,0.054680801,-0.2,0.01,-0.11685,0.037771829,0.02,0.1,0.0615,0.0129067,-0.02,0,-0.01295,0.005285564,0
0.24,0.46,0.3399,0.045556194,-2.02,-1.39,-1.76515,0.170988781,9.98,10.39,10.19785,0.057510126,-0.19,0.01,-0.0984,0.040826142,0.02,0.1,0.0567,0.013036863,-0.02,0,-0.0117,0.004713927,0
0.27,0.49,0.34535,0.041040212,-2.06,-1.39,-1.78595,0.175656979,10,10.36,10.1924,0.051375453,-0.21,0,-0.1154,0.044176894,0.01,0.1,0.06035,0.014190998,-0.02,0,-0.0135,0.005185019,0
0.23,0.49,0.3624,0.046400485,-2.04,-1.39,-1.73245,0.185321932,9.98,10.41,10.20455,0.05556288,-0.22,0.01,-0.10245,0.05136819,0.02,0.1,0.0579,0.015420081,-0.02,0,-0.0118,0.005088167,0
0.24,0.45,0.3363,0.046336219,-2.06,-1.39,-1.82235,0.183215219,9.93,10.38,10.18775,0.060179276,-0.2,0.03,-0.11125,0.043386049,0.01,0.1,0.05945,0.012846113,-0.02,0,-0.0127,0.004881511,0
0.25,0.47,0.3688,0.041872743,-1.99,-1.34,-1.64685,0.172237937,10.02,10.4,10.2204,0.055400234,-0.2,0.03,-0.10235,0.048907435,0.01,0.1,0.05735,0.014681801,-0.02,0,-0.01195,0.004982129,0
0.26,0.5,0.37075,0.042826488,-1.95,-1.28,-1.6603,0.167565812,9.97,10.54,10.22095,0.061836204,-0.19,0.04,-0.10065,0.044688509,0.01,0.1,0.05655,0.013730994,-0.02,0,-0.0121,0.005169489,0
0.27,0.49,0.3764,0.044945975,-1.95,-1.33,-1.67155,0.185060353,9.97,10.43,10.2207,0.057707545,-0.21,0.01,-0.11695,0.0437581,0.03,0.1,0.0607,0.013319046,-0.02,0,-0.01305,0.005131193,0
0.27,0.51,0.3577,0.041330996,-2.02,-1.36,-1.7812,0.173328514,9.95,10.39,10.1954,0.056540464,-0.21,0.01,-0.09945,0.04382695,0.02,0.1,0.05675,0.014032894,-0.02,0,-0.0117,0.005315191,0
0.27,0.46,0.3421,0.041644463,-2.08,-1.48,-1.8304,0.158449903,9.95,10.41,10.18445,0.056556971,-0.22,0.01,-0.11685,0.040963,0.03,0.1,0.06135,0.012942762,-0.02,0,-0.01285,0.005245481,0
0.17,0.37,0.2663,0.047003795,-1.84,-1.22,-1.58325,0.169675829,10.07,10.44,10.2334,0.055920259,-0.19,0.03,-0.1034,0.040863051,0.02,0.09,0.0572,0.013381154,-0.02,0,-0.01215,0.004580656,0
0.24,0.48,0.35855,0.047356209,-2.03,-1.32,-1.68305,0.194520923,9.91,10.42,10.2147,0.064899691,-0.21,0.01,-0.09855,0.047915309,0.02,0.09,0.05665,0.014777325,-0.02,0,-0.01145,0.00505224,0
0.28,0.48,0.3638,0.041389922,-2,-1.37,-1.7226,0.156697192,9.99,10.44,10.20765,0.055483055,-0.19,0.02,-0.1112,0.041146387,0.01,0.1,0.05905,0.013435029,-0.02,0,-0.013,0.005304781,0
